epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,9292.17,0.45279,0.14829,0.00343,0.99797,0.98343,0.99369,0.75358,0.40342,0.1329,0.00533,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9397.85,0.43101,0.14051,0.00332,0.99813,0.98118,0.99375,0.75307,0.40363,0.13297,0.00532,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9503.36,0.42311,0.13913,0.00326,0.99813,0.98306,0.99469,0.7535,0.40343,0.12994,0.00532,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9609.08,0.41656,0.13593,0.00317,1,0.98096,0.99473,0.75416,0.40236,0.13119,0.00531,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9714.69,0.41276,0.13514,0.00313,0.99988,0.98343,0.99476,0.75584,0.40177,0.13069,0.00531,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9820.41,0.40966,0.1342,0.00311,1,0.98691,0.99482,0.7536,0.40125,0.13156,0.00531,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9925.91,0.39816,0.13149,0.00305,0.99813,0.98503,0.99485,0.75184,0.40292,0.1341,0.00533,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10032.7,0.36349,0.11754,0.00338,0.99444,0.98808,0.9948,0.74961,0.40374,0.11921,0.00535,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10138.4,0.34219,0.11478,0.00324,0.99813,0.98309,0.99466,0.74857,0.40207,0.12808,0.00531,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10243.7,0.3357,0.11176,0.00312,0.99259,0.98648,0.99466,0.74426,0.40275,0.13702,0.00532,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10349.3,0.32826,0.10901,0.00302,0.99813,0.98527,0.99468,0.74426,0.40184,0.13368,0.00531,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10454.7,0.3207,0.10361,0.00299,0.99981,0.98895,0.99484,0.74274,0.40092,0.13735,0.0053,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10560.1,0.31052,0.10201,0.0029,0.99603,0.98527,0.99478,0.74326,0.4006,0.13885,0.0053,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10665.6,0.30679,0.1007,0.00288,0.99972,0.98158,0.9938,0.74304,0.40193,0.14243,0.00531,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10771.3,0.29495,0.09541,0.00275,1,0.98447,0.99384,0.74488,0.40233,0.13655,0.00532,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10876.7,0.29744,0.09702,0.00273,1,0.98341,0.9939,0.74463,0.40285,0.137,0.00532,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10982.1,0.28704,0.09339,0.00266,1,0.98333,0.99385,0.7451,0.40231,0.13767,0.00531,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
